
           Claude Code v2.1.39
 ▐▛███▜▌   Opus 4.6 · Claude Max
      14 -  DisplayOrder   int      `json:"display_order"`               
      10 +  ID          string `json:"id"`                               
      11 +  Label       string `json:"label"`                            
      12 +  Description string `json:"description"`                      
      13 +  MinRole     string `json:"min_role"`                         
      14 +  Ordinal     int    `json:"ordinal"`                          
      15  }                                                              
      16                                                                 
      17  // VisibilityCache caches allowed strata per role, reloaded    
          periodically.                                                  
     ...
      22    allowed map[string][]string                                  
      23  }                                                              
      24                                                                 
      25 -// roleHierarchy defines which roles each role can see.        
      26 -// admin sees everything, moderator sees user+moderator        
         -strata, user sees user-level strata only.                      
      25 +// roleHierarchy defines which roles each role encompasses.    
      26 +// operator sees everything, provider sees                     
         +anon+user+researcher+provider, etc.                            
      27  var roleHierarchy = map[string][]string{                       
      28 -  "admin":     {"user", "moderator", "admin"},                 
      29 -  "moderator": {"user", "moderator"},                          
      30 -  "user":      {"user"},                                       
      28 +  "operator":   {"anon", "user", "researcher", "provider",     
         +"operator"},                                                   
      29 +  "provider":   {"anon", "user", "researcher", "provider"},    
      30 +  "researcher": {"anon", "user", "researcher"},                
      31 +  "user":       {"anon", "user"},                              
      32 +  "anon":       {"anon"},                                      
      33  }                                                              
      34                                                                 
      35  // NewVisibilityCache creates a cache and loads strata from    
          the database.                                                  
     ...
      57  }                                                              
      58                                                                 
      59  func (vc *VisibilityCache) reload() {                          
      60 -  rows, err := vc.database.Query("SELECT stratum               
         -, min_role FROM visibility_strata ORDER BY display_order")     
      60 +  rows, err := vc.database.Query("SELECT id                    
         +, min_role FROM visibility_strata ORDER BY ordinal")           
      61    if err != nil {                                              
      62      return                                                     
      63    }                                                            
     ...
       98  // AllowedStrata returns the list of visibility strata        
           visible to the given role.                                    
       99  func (vc *VisibilityCache) AllowedStrata(role string)         
           []string {                                                    
      100    if role == "" {                                             
      101 -    role = "user"                                             
      101 +    role = "anon"                                             
      102    }                                                           
      103    vc.mu.RLock()                                               
      104    defer vc.mu.RUnlock()                                       
      105    strata, ok := vc.allowed[role]                              
      106    if !ok {                                                    
      107 -    return []string{"public", "degraded"} // fallback for user
      107 +    return []string{"public"} // fallback: public only        
      108    }                                                           
      109    return strata                                               
      110  }                                                             
      111                                                                
      112  // VisibilityPlaceholders returns a SQL IN clause fragment    
           and args for the given role.                                  
      113 -// Example: "?,?,?" with args ["public", "degraded"]          
      113 +// Example: "?,?,?" with args ["public", "research"]          
      114  func (vc *VisibilityCache) VisibilityPlaceholders(role        
           string) (string, []interface{}) {                             
      115    strata := vc.AllowedStrata(role)                            
      116    if len(strata) == 0 {                                       
  ⎿  Found 2 new diagnostic issues in 1 file (ctrl+o to expand)

● Réécriture complète de sandbox.go.

● Write(/data/HOROS SYSTEM DEV AREA/horostracker/internal/db/sandbox.go)
  ⎿  Added 125 lines, removed 200 lines
        6    "time"                                                      
        7  )                                                             
        8                                                                
        9 -// Sandbox represents a security collaboration sandbox for a  
          -question tree.                                                
       10 -type Sandbox struct {                                         
       11 -  ID                string     `json:"id"`                    
       12 -  QuestionID        string     `json:"question_id"`           
       13 -  CreatedBy         string     `json:"created_by"`            
       14 -  Status            string     `json:"status"`                
       15 -  ResolutionSummary string                                    
          -`json:"resolution_summary,omitempty"`                         
       16 -  CreatedAt         time.Time  `json:"created_at"`            
       17 -  ResolvedAt        *time.Time `json:"resolved_at,omitempty"` 
        9 +// NodeClone represents a cloned node entry in node_clones.   
       10 +type NodeClone struct {                                       
       11 +  CloneID    string    `json:"clone_id"`                      
       12 +  SourceID   string    `json:"source_id"`                     
       13 +  QuestionID string    `json:"question_id"`                   
       14 +  ClonedAt   time.Time `json:"cloned_at"`                     
       15  }                                                             
       16                                                                
       17 -// NodeClone represents a cloned node inside a sandbox.       
       18 -type NodeClone struct {                                       
       19 -  CloneID       string    `json:"clone_id"`                   
       20 -  OriginalID    string    `json:"original_id"`                
       21 -  SandboxID     string    `json:"sandbox_id"`                 
       22 -  Body          string    `json:"body"`                       
       23 -  AuthorID      string    `json:"author_id"`                  
       24 -  NodeType      string    `json:"node_type"`                  
       25 -  ParentCloneID *string   `json:"parent_clone_id,omitempty"`  
       26 -  Depth         int       `json:"depth"`                      
       17 +// QuestionSandbox represents an access configuration for a   
          +question's clone space.                                       
       18 +type QuestionSandbox struct {                                 
       19 +  QuestionID    string    `json:"question_id"`                
       20 +  Visibility    string    `json:"visibility"`                 
       21 +  WhitelistType string    `json:"whitelist_type"`             
       22    CreatedAt     time.Time `json:"created_at"`                 
       23  }                                                             
       24                                                                
       25 -// SandboxMember represents a member of a sandbox.            
       25 +// SandboxMember represents a member granted access to a      
          +question's sandbox.                                           
       26  type SandboxMember struct {                                   
       27 -  SandboxID string    `json:"sandbox_id"`                     
       28 -  UserID    string    `json:"user_id"`                        
       29 -  Role      string    `json:"role"`                           
       30 -  JoinedAt  time.Time `json:"joined_at"`                      
       27 +  QuestionID string    `json:"question_id"`                   
       28 +  MemberID   string    `json:"member_id"`                     
       29 +  Role       string    `json:"role"`                          
       30 +  GrantedBy  string    `json:"granted_by,omitempty"`          
       31 +  GrantedAt  time.Time `json:"granted_at"`                    
       32  }                                                             
       33                                                                
       34 -// CreateSandbox creates a new sandbox for a question and     
          -clones its entire tree.                                       
       35 -func (db *DB) CreateSandbox(questionID, createdBy string)     
          -(*Sandbox, error) {                                           
       36 -  // Verify the question exists and is a root question        
       37 -  var nodeType string                                         
       38 -  err := db.QueryRow("SELECT node_type FROM nodes WHERE id =  
          -?", questionID).Scan(&nodeType)                               
       39 -  if err != nil {                                             
       40 -    return nil, fmt.Errorf("question not found: %w", err)     
       41 -  }                                                           
       42 -  if nodeType != "question" {                                 
       43 -    return nil, fmt.Errorf("node is not a question")          
       44 -  }                                                           
       45 -                                                              
       46 -  sandboxID := NewID()                                        
       47 -                                                              
       34 +// CloneNode clones a node into the nodes table with          
          +visibility "provider"                                         
       35 +// and records the mapping in node_clones. If the source node 
          + has a parent,                                                
       36 +// the clone's parent_id is resolved to the clone of that     
          +parent.                                                       
       37 +func (db *DB) CloneNode(nodeID string) error {                
       38    tx, err := db.Begin()                                       
       39    if err != nil {                                             
       40 -    return nil, err                                           
       40 +    return fmt.Errorf("begin clone tx: %w", err)              
       41    }                                                           
       42    defer tx.Rollback()                                         
       43                                                                
       44 -  _, err = tx.Exec(`INSERT INTO question_sandboxes (id,       
          -question_id, created_by) VALUES (?, ?, ?)`,                   
       45 -    sandboxID, questionID, createdBy)                         
       44 +  // Read source node                                         
       45 +  var body, authorID, nodeType, rootID, metadata,             
          +temperature, status string                                    
       46 +  var parentID, slug, modelID sql.NullString                  
       47 +  var depth, score int                                        
       48 +  err = tx.QueryRow(`SELECT body, author_id, node_type,       
          +parent_id, root_id, depth,                                    
       49 +    slug, model_id, metadata, temperature, status, score      
       50 +    FROM nodes WHERE id = ?`, nodeID).                        
       51 +    Scan(&body, &authorID, &nodeType, &parentID, &rootID,     
          +&depth,                                                       
       52 +      &slug, &modelID, &metadata, &temperature, &status,      
          +&score)                                                       
       53    if err != nil {                                             
       54 -    return nil, fmt.Errorf("creating sandbox: %w", err)       
       54 +    return fmt.Errorf("reading source node: %w", err)         
       55    }                                                           
       56                                                                
       57 -  // Add creator as lead member                               
       58 -  _, err = tx.Exec(`INSERT INTO sandbox_members (sandbox_id,  
          -user_id, role) VALUES (?, ?, 'lead')`,                        
       59 -    sandboxID, createdBy)                                     
       60 -  if err != nil {                                             
       61 -    return nil, fmt.Errorf("adding creator as member: %w",    
          -err)                                                          
       62 -  }                                                           
       57 +  cloneID := NewID()                                          
       58                                                                
       59 -  // Clone the entire tree into the sandbox                   
       60 -  if err := cloneTreeTx(tx, sandboxID, questionID); err !=    
          -nil {                                                         
       61 -    return nil, fmt.Errorf("cloning tree: %w", err)           
       59 +  // Determine the question_id (root of the tree)             
       60 +  questionID := rootID                                        
       61 +                                                              
       62 +  // Resolve parent: if the source has a parent, find its     
          +clone                                                         
       63 +  var cloneParentID *string                                   
       64 +  if parentID.Valid {                                         
       65 +    var pcid string                                           
       66 +    err = tx.QueryRow("SELECT clone_id FROM node_clones WHERE 
          + source_id = ?", parentID.String).Scan(&pcid)                 
       67 +    if err == nil {                                           
       68 +      cloneParentID = &pcid                                   
       69 +    }                                                         
       70 +    // If parent clone not found, leave parent as nil         
          +(orphaned clone)                                              
       71    }                                                           
       72                                                                
       73 -  if err := tx.Commit(); err != nil {                         
       74 -    return nil, err                                           
       73 +  // Determine clone's root_id: the clone of the question     
          +root                                                          
       74 +  var cloneRootID string                                      
       75 +  if nodeID == rootID {                                       
       76 +    // This node is the root — clone root is itself           
       77 +    cloneRootID = cloneID                                     
       78 +  } else {                                                    
       79 +    // Find the clone of the root                             
       80 +    err = tx.QueryRow("SELECT clone_id FROM node_clones WHERE 
          + source_id = ?", rootID).Scan(&cloneRootID)                   
       81 +    if err != nil {                                           
       82 +      // Root clone doesn't exist yet, use cloneID as         
          +fallback                                                      
       83 +      cloneRootID = cloneID                                   
       84 +    }                                                         
       85    }                                                           
       86                                                                
       87 -  return db.GetSandbox(sandboxID)                             
       88 -}                                                             
       89 -                                                              
       90 -// cloneTreeTx clones all nodes from a question tree into a   
          -sandbox within a transaction.                                 
       91 -func cloneTreeTx(tx *sql.Tx, sandboxID, questionID string)    
          -error {                                                       
       92 -  // Fetch all nodes in the tree ordered by depth             
       93 -  rows, err := tx.Query(`                                     
       94 -    WITH RECURSIVE tree AS (                                  
       95 -      SELECT id, parent_id, body, author_id, node_type, depth 
       96 -      FROM nodes WHERE id = ?                                 
       97 -      UNION ALL                                               
       98 -      SELECT n.id, n.parent_id, n.body, n.author_id,          
          -n.node_type, n.depth                                          
       99 -      FROM nodes n JOIN tree t ON n.parent_id = t.id          
      100 -    )                                                         
      101 -    SELECT id, parent_id, body, author_id, node_type, depth   
          -FROM tree ORDER BY depth ASC`,                                
      102 -    questionID)                                               
       87 +  // Insert clone into nodes table with visibility "provider" 
       88 +  _, err = tx.Exec(`INSERT INTO nodes (id, parent_id,         
          +root_id, slug, node_type, body, author_id, model_id,          
       89 +    metadata, depth, origin_instance, visibility, score,      
          +temperature, status)                                          
       90 +    VALUES (?, ?, ?, NULL, ?, ?, ?, ?, ?, ?, 'local',         
          +'provider', 0, ?, ?)`,                                        
       91 +    cloneID, cloneParentID, cloneRootID, nodeType, body,      
          +authorID, modelID,                                            
       92 +    metadata, depth, temperature, status)                     
       93    if err != nil {                                             
       94 -    return err                                                
       94 +    return fmt.Errorf("inserting clone node: %w", err)        
       95    }                                                           
       96 -  defer rows.Close()                                          
       96                                                                
       97 -  // Map original node IDs to clone IDs for parent linkage    
       98 -  cloneMap := make(map[string]string)                         
       99 -                                                              
      100 -  for rows.Next() {                                           
      101 -    var origID, body, authorID, nodeType string               
      102 -    var parentID sql.NullString                               
      103 -    var depth int                                             
      104 -    if err := rows.Scan(&origID, &parentID, &body, &authorID, 
          - &nodeType, &depth); err != nil {                             
      105 -      return err                                              
      106 -    }                                                         
      107 -                                                              
      108 -    cloneID := NewID()                                        
      109 -    cloneMap[origID] = cloneID                                
      110 -                                                              
      111 -    var parentCloneID *string                                 
      112 -    if parentID.Valid {                                       
      113 -      if pcid, ok := cloneMap[parentID.String]; ok {          
      114 -        parentCloneID = &pcid                                 
      115 -      }                                                       
      116 -    }                                                         
      117 -                                                              
      118 -    _, err := tx.Exec(`INSERT INTO node_clones (clone_id,     
          -original_id, sandbox_id, body, author_id, node_type,          
          -parent_clone_id, depth)                                       
      119 -      VALUES (?, ?, ?, ?, ?, ?, ?, ?)`,                       
      120 -      cloneID, origID, sandboxID, body, authorID, nodeType,   
          -parentCloneID, depth)                                         
       97 +  // Update parent's child_count if applicable                
       98 +  if cloneParentID != nil {                                   
       99 +    _, err = tx.Exec("UPDATE nodes SET child_count =          
          +child_count + 1, updated_at = datetime('now') WHERE id = ?",  
          +*cloneParentID)                                               
      100      if err != nil {                                           
      101 -      return fmt.Errorf("cloning node %s: %w", origID, err)   
      101 +      return fmt.Errorf("updating clone parent child_count:   
          +%w", err)                                                     
      102      }                                                         
      103    }                                                           
      104 -  return nil                                                  
      105 -}                                                             
      104                                                                
      105 -// CloneNodeIntoSandboxes clones a single node into all       
          -active sandboxes for its question.                            
      106 -func (db *DB) CloneNodeIntoSandboxes(nodeID, rootID string) { 
      107 -  sandboxes, err := db.GetActiveSandboxes(rootID)             
      108 -  if err != nil || len(sandboxes) == 0 {                      
      109 -    return                                                    
      105 +  // Record in node_clones                                    
      106 +  _, err = tx.Exec("INSERT INTO node_clones (clone_id,        
          +source_id, question_id) VALUES (?, ?, ?)",                    
      107 +    cloneID, nodeID, questionID)                              
      108 +  if err != nil {                                             
      109 +    return fmt.Errorf("recording clone: %w", err)             
      110    }                                                           
      111                                                                
      112 -  var body, authorID, nodeType string                         
      113 -  var parentID sql.NullString                                 
      114 -  var depth int                                               
      115 -  err = db.QueryRow("SELECT body, author_id, node_type,       
          -parent_id, depth FROM nodes WHERE id = ?", nodeID).           
      116 -    Scan(&body, &authorID, &nodeType, &parentID, &depth)      
      112 +  // Duplicate tags                                           
      113 +  rows, err := tx.Query("SELECT tag FROM tags WHERE node_id = 
          + ?", nodeID)                                                  
      114    if err != nil {                                             
      115 -    return                                                    
      115 +    return fmt.Errorf("reading source tags: %w", err)         
      116    }                                                           
      117 -                                                              
      118 -  for _, sandboxID := range sandboxes {                       
      119 -    cloneID := NewID()                                        
      120 -    var parentCloneID *string                                 
      121 -    if parentID.Valid {                                       
      122 -      // Find the clone of the parent node in this sandbox    
      123 -      var pcid string                                         
      124 -      err := db.QueryRow("SELECT clone_id FROM node_clones    
          -WHERE original_id = ? AND sandbox_id = ?",                    
      125 -        parentID.String, sandboxID).Scan(&pcid)               
      126 -      if err == nil {                                         
      127 -        parentCloneID = &pcid                                 
      128 -      }                                                       
      117 +  defer rows.Close()                                          
      118 +  for rows.Next() {                                           
      119 +    var tag string                                            
      120 +    if err := rows.Scan(&tag); err != nil {                   
      121 +      return fmt.Errorf("scanning tag: %w", err)              
      122      }                                                         
      123 -    db.Exec(`INSERT INTO node_clones (clone_id, original_id,  
          -sandbox_id, body, author_id, node_type, parent_clone_id,      
          -depth)                                                        
      124 -      VALUES (?, ?, ?, ?, ?, ?, ?, ?)`,                       
      125 -      cloneID, nodeID, sandboxID, body, authorID, nodeType,   
          -parentCloneID, depth)                                         
      123 +    _, err = tx.Exec("INSERT OR IGNORE INTO tags (node_id,    
          +tag) VALUES (?, ?)", cloneID, tag)                            
      124 +    if err != nil {                                           
      125 +      return fmt.Errorf("inserting clone tag: %w", err)       
      126 +    }                                                         
      127    }                                                           
      128 -}                                                             
      128                                                                
      129 -// GetSandbox returns a sandbox by ID.                        
      130 -func (db *DB) GetSandbox(id string) (*Sandbox, error) {       
      131 -  s := &Sandbox{}                                             
      132 -  var summary sql.NullString                                  
      133 -  var resolvedAt sql.NullTime                                 
      134 -  err := db.QueryRow(`SELECT id, question_id, created_by,     
          -status, resolution_summary, created_at, resolved_at           
      135 -    FROM question_sandboxes WHERE id = ?`, id).               
      136 -    Scan(&s.ID, &s.QuestionID, &s.CreatedBy, &s.Status,       
          -&summary, &s.CreatedAt, &resolvedAt)                          
      137 -  if err != nil {                                             
      138 -    return nil, err                                           
      139 -  }                                                           
      140 -  if summary.Valid {                                          
      141 -    s.ResolutionSummary = summary.String                      
      142 -  }                                                           
      143 -  if resolvedAt.Valid {                                       
      144 -    s.ResolvedAt = &resolvedAt.Time                           
      145 -  }                                                           
      146 -  return s, nil                                               
      129 +  return tx.Commit()                                          
      130  }                                                             
      131                                                                
      132 -// ListSandboxes returns all sandboxes for a question.        
      133 -func (db *DB) ListSandboxes(questionID string) ([]Sandbox     
          -, error) {                                                    
      134 -  rows, err := db.Query(`SELECT id, question_id, created_by,  
          -status, resolution_summary, created_at, resolved_at           
      135 -    FROM question_sandboxes WHERE question_id = ? ORDER BY    
          -created_at DESC`, questionID)                                 
      132 +// GetClonesByQuestion returns all clones for a given         
          +question root.                                                
      133 +func (db *DB) GetClonesByQuestion(questionID string) ([]      
          +NodeClone, error) {                                           
      134 +  rows, err := db.Query(`SELECT clone_id, source_id,          
          +question_id, cloned_at                                        
      135 +    FROM node_clones WHERE question_id = ? ORDER BY cloned_at 
          +ASC`, questionID)                                             
      136    if err != nil {                                             
      137      return nil, err                                           
      138    }                                                           
      139    defer rows.Close()                                          
      140                                                                
      141 -  var results []Sandbox                                       
      141 +  var results []NodeClone                                     
      142    for rows.Next() {                                           
      143 -    var s Sandbox                                             
      144 -    var summary sql.NullString                                
      145 -    var resolvedAt sql.NullTime                               
      146 -    if err := rows.Scan(&s.ID, &s.QuestionID, &s.CreatedBy,   
          -&s.Status, &summary, &s.CreatedAt, &resolvedAt); err != nil { 
      143 +    var c NodeClone                                           
      144 +    if err := rows.Scan(&c.CloneID, &c.SourceID,              
          +&c.QuestionID, &c.ClonedAt); err != nil {                     
      145        return nil, err                                         
      146      }                                                         
      147 -    if summary.Valid {                                        
      148 -      s.ResolutionSummary = summary.String                    
      149 -    }                                                         
      150 -    if resolvedAt.Valid {                                     
      151 -      s.ResolvedAt = &resolvedAt.Time                         
      152 -    }                                                         
      153 -    results = append(results, s)                              
      147 +    results = append(results, c)                              
      148    }                                                           
      149    return results, nil                                         
      150  }                                                             
      151                                                                
      152 -// AddSandboxMember adds a user to a sandbox.                 
      153 -func (db *DB) AddSandboxMember(sandboxID, userID, role        
          -string) error {                                               
      154 -  _, err := db.Exec(`INSERT OR IGNORE INTO sandbox_members    
          -(sandbox_id, user_id, role) VALUES (?, ?, ?)`,                
      155 -    sandboxID, userID, role)                                  
      152 +// ConfigureAccess sets up a sandbox access configuration for 
          + a question.                                                  
      153 +func (db *DB) ConfigureAccess(questionID, visibility,         
          +whitelistType string) error {                                 
      154 +  _, err := db.Exec(`INSERT OR REPLACE INTO                   
          +question_sandboxes (question_id, visibility, whitelist_type)  
      155 +    VALUES (?, ?, ?)`, questionID, visibility, whitelistType) 
      156    return err                                                  
      157  }                                                             
      158                                                                
      159 -// GetSandboxMembers returns all members of a sandbox.        
      160 -func (db *DB) GetSandboxMembers(sandboxID string)             
          -([]SandboxMember, error) {                                    
      161 -  rows, err := db.Query("SELECT sandbox_id, user_id, role,    
          -joined_at FROM sandbox_members WHERE sandbox_id = ?",         
          -sandboxID)                                                    
      159 +// GetAccessConfig returns access configurations for a        
          +question.                                                     
      160 +func (db *DB) GetAccessConfig(questionID string)              
          +([]QuestionSandbox, error) {                                  
      161 +  rows, err := db.Query(`SELECT question_id, visibility,      
          +whitelist_type, created_at                                    
      162 +    FROM question_sandboxes WHERE question_id = ? ORDER BY    
          +created_at`, questionID)                                      
      163    if err != nil {                                             
      164      return nil, err                                           
      165    }                                                           
      166    defer rows.Close()                                          
      167                                                                
      168 -  var results []SandboxMember                                 
      168 +  var results []QuestionSandbox                               
      169    for rows.Next() {                                           
      170 -    var m SandboxMember                                       
      171 -    if err := rows.Scan(&m.SandboxID, &m.UserID, &m.Role,     
          -&m.JoinedAt); err != nil {                                    
      170 +    var s QuestionSandbox                                     
      171 +    if err := rows.Scan(&s.QuestionID, &s.Visibility,         
          +&s.WhitelistType, &s.CreatedAt); err != nil {                 
      172        return nil, err                                         
      173      }                                                         
      174 -    results = append(results, m)                              
      174 +    results = append(results, s)                              
      175    }                                                           
      176    return results, nil                                         
      177  }                                                             
      178                                                                
      179 -// GetSandboxTree returns all cloned nodes in a sandbox,      
          -ordered by depth.                                             
      180 -func (db *DB) GetSandboxTree(sandboxID string) ([]NodeClone,  
          -error) {                                                      
      181 -  rows, err := db.Query(`SELECT clone_id, original_id,        
          -sandbox_id, body, author_id, node_type, parent_clone_id,      
          -depth, created_at                                             
      182 -    FROM node_clones WHERE sandbox_id = ? ORDER BY depth      
          -ASC`, sandboxID)                                              
      179 +// AddSandboxMember grants a member access to a question's    
          +sandbox.                                                      
      180 +func (db *DB) AddSandboxMember(questionID, memberID, role,    
          +grantedBy string) error {                                     
      181 +  validRoles := map[string]bool{"provider": true,             
          +"researcher": true}                                           
      182 +  if !validRoles[role] {                                      
      183 +    return fmt.Errorf("invalid sandbox member role: %s",      
          +role)                                                         
      184 +  }                                                           
      185 +  _, err := db.Exec(`INSERT OR IGNORE INTO sandbox_members    
          +(question_id, member_id, role, granted_by)                    
      186 +    VALUES (?, ?, ?, ?)`, questionID, memberID, role,         
          +grantedBy)                                                    
      187 +  return err                                                  
      188 +}                                                             
      189 +                                                              
      190 +// GetSandboxMembers returns all members of a question's      
          +sandbox.                                                      
      191 +func (db *DB) GetSandboxMembers(questionID string)            
          +([]SandboxMember, error) {                                    
      192 +  rows, err := db.Query(`SELECT question_id, member_id, role, 
          + COALESCE(granted_by, ''), granted_at                         
      193 +    FROM sandbox_members WHERE question_id = ? ORDER BY       
          +granted_at`, questionID)                                      
      194    if err != nil {                                             
      195      return nil, err                                           
      196    }                                                           
      197    defer rows.Close()                                          
      198                                                                
      199 -  var results []NodeClone                                     
      199 +  var results []SandboxMember                                 
      200    for rows.Next() {                                           
      201 -    var c NodeClone                                           
      202 -    var parentCloneID sql.NullString                          
      203 -    if err := rows.Scan(&c.CloneID, &c.OriginalID,            
          -&c.SandboxID, &c.Body, &c.AuthorID, &c.NodeType,              
      204 -      &parentCloneID, &c.Depth, &c.CreatedAt); err != nil {   
      201 +    var m SandboxMember                                       
      202 +    if err := rows.Scan(&m.QuestionID, &m.MemberID, &m.Role,  
          +&m.GrantedBy, &m.GrantedAt); err != nil {                     
      203        return nil, err                                         
      204      }                                                         
      205 -    if parentCloneID.Valid {                                  
      206 -      c.ParentCloneID = &parentCloneID.String                 
      207 -    }                                                         
      208 -    results = append(results, c)                              
      205 +    results = append(results, m)                              
      206    }                                                           
      207    return results, nil                                         
      208  }                                                             
      209 -                                                              
      210 -// ResolveSandbox marks a sandbox as resolved.                
      211 -func (db *DB) ResolveSandbox(id, summary string) error {      
      212 -  _, err := db.Exec(`UPDATE question_sandboxes SET status =   
          -'resolved', resolution_summary = ?, resolved_at =             
          -datetime('now') WHERE id = ?`,                                
      213 -    summary, id)                                              
      214 -  return err                                                  
      215 -}                                                             
      216 -                                                              
      217 -// IsSandboxLead checks if a user is the lead of a sandbox.   
      218 -func (db *DB) IsSandboxLead(sandboxID, userID string) (bool,  
          -error) {                                                      
      219 -  var role string                                             
      220 -  err := db.QueryRow("SELECT role FROM sandbox_members WHERE  
          -sandbox_id = ? AND user_id = ?", sandboxID,                   
          -userID).Scan(&role)                                           
      221 -  if err != nil {                                             
      222 -    return false, err                                         
      223 -  }                                                           
      224 -  return role == "lead", nil                                  
      225 -}                                                             
  ⎿  Found 10 new diagnostic issues in 2 files (ctrl+o to expand)

● Les diagnostics sont attendus : les fichiers sandbox.go (API) et api.go
  référencent encore les anciennes méthodes. Je les corrige dans les tâches
  suivantes. D'abord, nodes.go.

● Update(/data/HOROS SYSTEM DEV AREA/horostracker/internal/db/nodes.go)
  ⎿  Added 2 lines, removed 2 lines
      668  }                                                             
      669                                                                
      670  // visibilityFilterCol returns a SQL fragment like "col IN    
           (?,?)" and the corresponding args.                            
      671 -// If visStrata is nil or empty, returns a permissive         
          - filter for public+degraded.                                  
      671 +// If visStrata is nil or empty, returns a restrictive        
          + filter for public only.                                      
      672  func visibilityFilterCol(col string, visStrata []string)      
           (string, []interface{}) {                                     
      673    if len(visStrata) == 0 {                                    
      674 -    return col + " IN ('public','degraded')", nil             
      674 +    return col + " IN ('public')", nil                        
      675    }                                                           
      676    placeholders := ""                                          
      677    args := make([]interface{}, len(visStrata))                 

● Maintenant, ajouter l'exclusion des clones dans SearchNodes.

● Update(/data/HOROS SYSTEM DEV AREA/horostracker/internal/db/nodes.go)
  ⎿  Added 1 line
      329      FROM nodes_fts fts                                        
      330      JOIN nodes n ON n.rowid = fts.rowid                       
      331      WHERE nodes_fts MATCH ? AND `+visFrag+`                   
      332 +      AND n.id NOT IN (SELECT clone_id FROM node_clones)      
      333      ORDER BY rank                                             
      334      LIMIT ?`, args...)                                        
      335    if err != nil {                                             

● Je supprime aussi les méthodes GetActiveSandboxes et GetSandboxTree de
  nodes.go (elles utilisent l'ancien schema), puisqu'elles ne sont plus
  nécessaires.

● Update(/data/HOROS SYSTEM DEV AREA/horostracker/internal/db/nodes.go)
  ⎿  Removed 18 lines
      650    return err                                                  
      651  }                                                             
      652                                                                
      653 -// GetActiveSandboxes returns active sandbox IDs for a        
